image,width,height,label,xmin,ymin,xmax,ymax
A01_F03_C074_C_200114_3001_20S_000001.061.jpg,1920,1080,1,1189.35,152.11,1570.34,436.59998
A01_F03_C074_C_200114_3001_20S_000001.941.jpg,1920,1080,1,1158.02,85.69,1571.6,437.86002
A01_F03_C074_C_200114_3001_20S_000002.139.jpg,1920,1080,1,1186.84,81.93,1571.59,436.6
A01_F03_C074_C_200114_3001_20S_000002.204.jpg,1920,1080,1,1179.32,84.44,1572.84,440.37
A01_F03_C074_C_200114_3001_20S_000006.538.jpg,1920,1080,1,937.44,100.73,1295.87,435.35
A01_F03_C074_C_200114_3001_20S_000009.141.jpg,1920,1080,1,936.19,63.13,1293.37,416.55002
A01_F03_C074_C_200114_3001_20S_000014.639.jpg,1920,1080,1,918.64,140.84,1294.62,431.6
A01_F03_C074_C_200114_3002_20S_000013.639.jpg,1920,1080,1,884.17,81.28,1194.9199,412.11
A01_F03_C074_C_200114_3002_20S_000018.642.jpg,1920,1080,1,697.08,80.75,1046.94,446.99
A01_F03_C074_C_200114_3002_20S_000019.181.jpg,1920,1080,1,632,91.15,1054.61,445.41998
A01_F03_C074_C_200114_3003_20S_000010.105.jpg,1920,1080,1,664.93,227.89,1094.8201,435.46002
A01_F03_C074_C_200114_3004_20S_000010.105.jpg,1920,1080,1,764.2,202.83,1092.92,441.71002
A01_F03_C074_C_200114_3004_20S_000011.105.jpg,1920,1080,1,736.72,202.83,1092.39,444.35
A01_F03_C074_C_200114_3005_20S_000003.139.jpg,1920,1080,1,674.09,203.47,1091.26,429.86
A01_F03_C074_C_200114_3005_20S_000003.939.jpg,1920,1080,1,620.67,252.81,1054.12,438.5
A01_F03_C074_C_200114_3005_20S_000005.139.jpg,1920,1080,1,647.4,170.06,1053.28,461.79
A01_F03_C074_C_200114_3005_20S_000014.638.jpg,1920,1080,1,645.82,109.81,986.17004,474.47
A01_F03_C074_C_200114_3006_20S_000002.641.jpg,1920,1080,1,502.98,121.77,972.61,456.9
A01_F03_C074_C_200114_3006_20S_000006.938.jpg,1920,1080,1,523.96,103.63,973.93005,457.72
A01_F03_C074_C_200114_3006_20S_000007.138.jpg,1920,1080,1,537.48,94.49,972.43,458.62
A01_F03_C074_C_200114_3006_20S_000008.639.jpg,1920,1080,1,577.03,68.92,970.92004,457.52002
A01_F03_C074_C_200114_3006_20S_000010.605.jpg,1920,1080,1,600.54,70.05,973.63,458.93
A01_F03_C074_C_200114_3007_20S_000000.805.jpg,1920,1080,1,505.24,120.91,728.26,493.49
A01_F03_C074_C_200114_3007_20S_000005.637.jpg,1920,1080,1,430.19,107.17,695.49,551.63
